Item Name,SKU,Category,Selling Price,Buying Price,Current Stock,Description
Classic Denim Jacket,DJ-001,Apparel,4500,1800,25,Premium cotton denim jacket with stone wash finish.
Wireless Earbuds Pro,EB-202,Electronics,2999,1200,40,High-fidelity audio with active noise cancellation.
Minimalist Leather Wallet,WL-101,Accessories,1500,450,15,Genuine top-grain leather slim wallet.
Ergonomic Office Chair,OC-505,Furniture,12500,5500,10,Adjustable height and lumbar support for long work hours.
Smart Fitness Tracker,FT-303,Electronics,3500,1100,50,Heart rate and sleep monitoring with OLED display.
Ceramic Coffee Mug Set,MG-007,Home Decor,850,250,30,Set of 4 hand-painted ceramic mugs.
Yoga Mat Non-Slip,YM-404,Fitness,1200,400,20,Eco-friendly TPE material with double-sided texture.
Stainless Steel Water Bottle,WB-606,Essentials,950,300,60,Vacuum insulated 1-liter bottle.
Bamboo Toothbrush Pack,BT-909,Essentials,450,120,100,Biodegradable bamboo handles with soft charcoal bristles.
Organic Green Tea,GT-111,Food,350,150,80,Hand-picked organic loose leaf green tea.
